order,batch,pathway_id,pathway_name,trial,disease,group,node_ref,element_type,slot,mods,mode,flags,assertion_id,assertion_class,schedule_bearing,source_value,source_used,source_depth,locator,date_consulted,library_value,classification,note
11,2,endo,"Surgery, radiation, endocrine therapy only","NCCN standard (TAILORx, ATLAS)",breast,"HR-positive, HER2-negative",n0,procedure,Procedure (Surgery),Surgery,,,endo:n0:procedure_identity,procedure_identity,N,,,,,,,,
11,2,endo,"Surgery, radiation, endocrine therapy only","NCCN standard (TAILORx, ATLAS)",breast,"HR-positive, HER2-negative",n1,interval,Interval: Healing after surgery,,,,endo:n1:interval_duration,interval_duration,Y,,,,,,,,
11,2,endo,"Surgery, radiation, endocrine therapy only","NCCN standard (TAILORx, ATLAS)",breast,"HR-positive, HER2-negative",n2,phase,Phase 1 (Radiation; weekdays),Radiation,weekdays,optional,endo:n2:agents,agents,Y,,,,,,,,
11,2,endo,"Surgery, radiation, endocrine therapy only","NCCN standard (TAILORx, ATLAS)",breast,"HR-positive, HER2-negative",n3,phase,Phase 2 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,endo:n3:agents,agents,Y,,,,,,,,
11,2,endo,"Surgery, radiation, endocrine therapy only","NCCN standard (TAILORx, ATLAS)",breast,"HR-positive, HER2-negative",n3,phase,Phase 2 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,endo:n3:duration,duration,Y,,,,,,,,
11,2,endo,"Surgery, radiation, endocrine therapy only","NCCN standard (TAILORx, ATLAS)",breast,"HR-positive, HER2-negative",pathway,pathway,Sequence of steps,,,,endo:pathway:sequence,sequence,N,,,,,,,,
12,2,tc4-hr,"Surgery, then docetaxel + cyclophosphamide ×4 (TC), then endocrine therapy",US Oncology 9735,breast,"HR-positive, HER2-negative",n0,procedure,Procedure (Surgery),Surgery,,,tc4-hr:n0:procedure_identity,procedure_identity,N,,,,,,,,
12,2,tc4-hr,"Surgery, then docetaxel + cyclophosphamide ×4 (TC), then endocrine therapy",US Oncology 9735,breast,"HR-positive, HER2-negative",n1,interval,Interval: Healing after surgery,,,,tc4-hr:n1:interval_duration,interval_duration,Y,,,,,,,,
12,2,tc4-hr,"Surgery, then docetaxel + cyclophosphamide ×4 (TC), then endocrine therapy",US Oncology 9735,breast,"HR-positive, HER2-negative",n2,phase,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,tc4-hr:n2:agents,agents,Y,,,,,,,,
12,2,tc4-hr,"Surgery, then docetaxel + cyclophosphamide ×4 (TC), then endocrine therapy",US Oncology 9735,breast,"HR-positive, HER2-negative",n2,phase,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,tc4-hr:n2:cycle_length,cycle_length,Y,,,,,,,,
12,2,tc4-hr,"Surgery, then docetaxel + cyclophosphamide ×4 (TC), then endocrine therapy",US Oncology 9735,breast,"HR-positive, HER2-negative",n2,phase,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,tc4-hr:n2:n_cycles,n_cycles,Y,,,,,,,,
12,2,tc4-hr,"Surgery, then docetaxel + cyclophosphamide ×4 (TC), then endocrine therapy",US Oncology 9735,breast,"HR-positive, HER2-negative",n3,phase,Phase 2 (Radiation; weekdays),Radiation,weekdays,optional,tc4-hr:n3:agents,agents,Y,,,,,,,,
12,2,tc4-hr,"Surgery, then docetaxel + cyclophosphamide ×4 (TC), then endocrine therapy",US Oncology 9735,breast,"HR-positive, HER2-negative",n4,phase,Phase 3 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,tc4-hr:n4:agents,agents,Y,,,,,,,,
12,2,tc4-hr,"Surgery, then docetaxel + cyclophosphamide ×4 (TC), then endocrine therapy",US Oncology 9735,breast,"HR-positive, HER2-negative",n4,phase,Phase 3 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,tc4-hr:n4:duration,duration,Y,,,,,,,,
12,2,tc4-hr,"Surgery, then docetaxel + cyclophosphamide ×4 (TC), then endocrine therapy",US Oncology 9735,breast,"HR-positive, HER2-negative",pathway,pathway,Sequence of steps,,,,tc4-hr:pathway:sequence,sequence,N,,,,,,,,
13,2,anal,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",ACT II / RTOG 98-11,gi,Anal canal,n0,phase,Phase 1 (Radiation; Chemotherapy; weekdays),Radiation; Chemotherapy,weekdays,,anal:n0:agents,agents,Y,,,,,,,,
13,2,anal,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",ACT II / RTOG 98-11,gi,Anal canal,n0,phase,Phase 1 (Radiation; Chemotherapy; weekdays),Radiation; Chemotherapy,weekdays,,anal:n0:duration,duration,Y,,,,,,,,
13,2,anal,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",ACT II / RTOG 98-11,gi,Anal canal,n1,interval,Interval: Healing and response checks,,,,anal:n1:interval_duration,interval_duration,Y,,,,,,,,
13,2,anal,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",ACT II / RTOG 98-11,gi,Anal canal,n2,decision,Decision 1,,,,anal:n2:decision_condition,decision_condition,N,,,,,,,,
13,2,anal,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",ACT II / RTOG 98-11,gi,Anal canal,n2,decision,Decision 1,,,,anal:n2:branch_set,branch_set,N,,,,,,,,
13,2,anal,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",ACT II / RTOG 98-11,gi,Anal canal,n2.b0.n0,phase,Phase 2 (Surveillance; ongoing) [branch: Complete response],Surveillance,ongoing,open-ended,anal:n2.b0.n0:agents,agents,Y,,,,,,,,
13,2,anal,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",ACT II / RTOG 98-11,gi,Anal canal,n2.b0.n0,phase,Phase 2 (Surveillance; ongoing) [branch: Complete response],Surveillance,ongoing,open-ended,anal:n2.b0.n0:frequency_text,frequency_text,N,,,,,,,,
13,2,anal,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",ACT II / RTOG 98-11,gi,Anal canal,n2.b1.n0,procedure,Procedure (Surgery) [branch: Cancer remains],Surgery,,,anal:n2.b1.n0:procedure_identity,procedure_identity,N,,,,,,,,
13,2,anal,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",ACT II / RTOG 98-11,gi,Anal canal,n2.b1.n1,interval,Interval: Healing after surgery [branch: Cancer remains],,,,anal:n2.b1.n1:interval_duration,interval_duration,Y,,,,,,,,
13,2,anal,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",ACT II / RTOG 98-11,gi,Anal canal,pathway,pathway,Sequence of steps,,,,anal:pathway:sequence,sequence,N,,,,,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,gi,Rectal,n0,phase,Phase 1 (Radiation; Chemotherapy; weekdays),Radiation; Chemotherapy,weekdays,,tnt-lcrt:n0:agents,agents,Y,,,,,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,gi,Rectal,n0,phase,Phase 1 (Radiation; Chemotherapy; weekdays),Radiation; Chemotherapy,weekdays,,tnt-lcrt:n0:duration,duration,Y,,,,,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,gi,Rectal,n1,interval,Interval: Recovery,,,,tnt-lcrt:n1:interval_duration,interval_duration,Y,,,,,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,gi,Rectal,n2,phase,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,tnt-lcrt:n2:agents,agents,Y,,,,,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,gi,Rectal,n2,phase,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,tnt-lcrt:n2:cycle_length,cycle_length,Y,,,,,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,gi,Rectal,n2,phase,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,tnt-lcrt:n2:n_cycles,n_cycles,Y,,,,,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,gi,Rectal,n3,interval,Interval: Recovery before surgery,,,,tnt-lcrt:n3:interval_duration,interval_duration,Y,,,,,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,gi,Rectal,n4,procedure,Procedure (Surgery),Surgery,,,tnt-lcrt:n4:procedure_identity,procedure_identity,N,,,,,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,gi,Rectal,n5,interval,Interval: Healing after surgery,,,,tnt-lcrt:n5:interval_duration,interval_duration,Y,,,,,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,gi,Rectal,n6,phase,Phase 3 (Surveillance; ongoing),Surveillance,ongoing,open-ended,tnt-lcrt:n6:agents,agents,Y,,,,,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,gi,Rectal,n6,phase,Phase 3 (Surveillance; ongoing),Surveillance,ongoing,open-ended,tnt-lcrt:n6:frequency_text,frequency_text,N,,,,,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,gi,Rectal,pathway,pathway,Sequence of steps,,,,tnt-lcrt:pathway:sequence,sequence,N,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n0,phase,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,flot:n0:agents,agents,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n0,phase,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,flot:n0:cycle_length,cycle_length,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n0,phase,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,flot:n0:n_cycles,n_cycles,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n0,phase,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,flot:n0:visit_days,visit_days,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n1,phase,Phase 2 (Immunotherapy; cycles),Immunotherapy,cycles,optional; concurrent,flot:n1:agents,agents,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n1,phase,Phase 2 (Immunotherapy; cycles),Immunotherapy,cycles,optional; concurrent,flot:n1:cycle_length,cycle_length,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n1,phase,Phase 2 (Immunotherapy; cycles),Immunotherapy,cycles,optional; concurrent,flot:n1:n_cycles,n_cycles,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n2,interval,Interval: Recovery before surgery,,,,flot:n2:interval_duration,interval_duration,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n3,procedure,Procedure (Surgery),Surgery,,,flot:n3:procedure_identity,procedure_identity,N,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n4,interval,Interval: Healing after surgery,,,,flot:n4:interval_duration,interval_duration,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n5,phase,Phase 3 (Chemotherapy; cycles),Chemotherapy,cycles,,flot:n5:agents,agents,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n5,phase,Phase 3 (Chemotherapy; cycles),Chemotherapy,cycles,,flot:n5:cycle_length,cycle_length,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n5,phase,Phase 3 (Chemotherapy; cycles),Chemotherapy,cycles,,flot:n5:n_cycles,n_cycles,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n5,phase,Phase 3 (Chemotherapy; cycles),Chemotherapy,cycles,,flot:n5:visit_days,visit_days,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n6,phase,Phase 4 (Immunotherapy; cycles),Immunotherapy,cycles,optional; concurrent,flot:n6:agents,agents,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n6,phase,Phase 4 (Immunotherapy; cycles),Immunotherapy,cycles,optional; concurrent,flot:n6:cycle_length,cycle_length,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n6,phase,Phase 4 (Immunotherapy; cycles),Immunotherapy,cycles,optional; concurrent,flot:n6:n_cycles,n_cycles,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n7,phase,Phase 5 (Immunotherapy; cycles),Immunotherapy,cycles,optional,flot:n7:agents,agents,Y,,,,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,gi,Esophageal and stomach,n7,phase,Phase 5 (Immunotherapy; cycles),Immunotherapy,cycles,optional,flot:n7:cycle_length,cycle_length,Y,,,,,,,,
