order,batch,pathway_id,pathway_name,trial,disease,group,node_ref,element_type,slot,mods,mode,flags,assertion_id,assertion_class,schedule_bearing,source_value,source_used,source_depth,locator,date_consulted,library_value,classification,note
41,5,kn564,"KEYNOTE-564: nephrectomy, then pembrolizumab for a year",KEYNOTE-564,gu,Kidney,n0,procedure,Procedure (Surgery),Surgery,,,kn564:n0:procedure_identity,procedure_identity,N,,,,,,,,
41,5,kn564,"KEYNOTE-564: nephrectomy, then pembrolizumab for a year",KEYNOTE-564,gu,Kidney,n1,interval,Interval: Healing after surgery,,,,kn564:n1:interval_duration,interval_duration,Y,,,,,,,,
41,5,kn564,"KEYNOTE-564: nephrectomy, then pembrolizumab for a year",KEYNOTE-564,gu,Kidney,n2,phase,Phase 1 (Immunotherapy; cycles),Immunotherapy,cycles,,kn564:n2:agents,agents,Y,,,,,,,,
41,5,kn564,"KEYNOTE-564: nephrectomy, then pembrolizumab for a year",KEYNOTE-564,gu,Kidney,n2,phase,Phase 1 (Immunotherapy; cycles),Immunotherapy,cycles,,kn564:n2:cycle_length,cycle_length,Y,,,,,,,,
41,5,kn564,"KEYNOTE-564: nephrectomy, then pembrolizumab for a year",KEYNOTE-564,gu,Kidney,n2,phase,Phase 1 (Immunotherapy; cycles),Immunotherapy,cycles,,kn564:n2:n_cycles,n_cycles,Y,,,,,,,,
41,5,kn564,"KEYNOTE-564: nephrectomy, then pembrolizumab for a year",KEYNOTE-564,gu,Kidney,n3,phase,Phase 2 (Surveillance; ongoing),Surveillance,ongoing,open-ended,kn564:n3:agents,agents,Y,,,,,,,,
41,5,kn564,"KEYNOTE-564: nephrectomy, then pembrolizumab for a year",KEYNOTE-564,gu,Kidney,n3,phase,Phase 2 (Surveillance; ongoing),Surveillance,ongoing,open-ended,kn564:n3:frequency_text,frequency_text,N,,,,,,,,
41,5,kn564,"KEYNOTE-564: nephrectomy, then pembrolizumab for a year",KEYNOTE-564,gu,Kidney,pathway,pathway,Sequence of steps,,,,kn564:pathway:sequence,sequence,N,,,,,,,,
42,5,active-surv,Active surveillance (low-risk prostate cancer),ProtecT / NCCN,gu,Prostate,n0,phase,Phase 1 (Surveillance; ongoing),Surveillance,ongoing,open-ended,active-surv:n0:agents,agents,Y,,,,,,,,
42,5,active-surv,Active surveillance (low-risk prostate cancer),ProtecT / NCCN,gu,Prostate,n0,phase,Phase 1 (Surveillance; ongoing),Surveillance,ongoing,open-ended,active-surv:n0:frequency_text,frequency_text,N,,,,,,,,
42,5,active-surv,Active surveillance (low-risk prostate cancer),ProtecT / NCCN,gu,Prostate,pathway,pathway,Sequence of steps,,,,active-surv:pathway:sequence,sequence,N,,,,,,,,
43,5,npc-crt,Nasopharyngeal cancer: concurrent cisplatin + radiation (no induction),NCCN standard (Chen JNCI 2011),hn,Nasopharynx,n0,phase,Phase 1 (Radiation; Chemotherapy; weekdays),Radiation; Chemotherapy,weekdays,,npc-crt:n0:agents,agents,Y,,,,,,,,
43,5,npc-crt,Nasopharyngeal cancer: concurrent cisplatin + radiation (no induction),NCCN standard (Chen JNCI 2011),hn,Nasopharynx,n0,phase,Phase 1 (Radiation; Chemotherapy; weekdays),Radiation; Chemotherapy,weekdays,,npc-crt:n0:duration,duration,Y,,,,,,,,
43,5,npc-crt,Nasopharyngeal cancer: concurrent cisplatin + radiation (no induction),NCCN standard (Chen JNCI 2011),hn,Nasopharynx,n1,interval,Interval: Recovery and first scan,,,,npc-crt:n1:interval_duration,interval_duration,Y,,,,,,,,
43,5,npc-crt,Nasopharyngeal cancer: concurrent cisplatin + radiation (no induction),NCCN standard (Chen JNCI 2011),hn,Nasopharynx,n2,phase,Phase 2 (Surveillance; ongoing),Surveillance,ongoing,open-ended,npc-crt:n2:agents,agents,Y,,,,,,,,
43,5,npc-crt,Nasopharyngeal cancer: concurrent cisplatin + radiation (no induction),NCCN standard (Chen JNCI 2011),hn,Nasopharynx,n2,phase,Phase 2 (Surveillance; ongoing),Surveillance,ongoing,open-ended,npc-crt:n2:frequency_text,frequency_text,N,,,,,,,,
43,5,npc-crt,Nasopharyngeal cancer: concurrent cisplatin + radiation (no induction),NCCN standard (Chen JNCI 2011),hn,Nasopharynx,pathway,pathway,Sequence of steps,,,,npc-crt:pathway:sequence,sequence,N,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n0,phase,Phase 1 (Immunotherapy; cycles),Immunotherapy,cycles,,kn689:n0:agents,agents,Y,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n0,phase,Phase 1 (Immunotherapy; cycles),Immunotherapy,cycles,,kn689:n0:cycle_length,cycle_length,Y,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n0,phase,Phase 1 (Immunotherapy; cycles),Immunotherapy,cycles,,kn689:n0:n_cycles,n_cycles,Y,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n1,interval,Interval: Recovery before surgery,,,,kn689:n1:interval_duration,interval_duration,Y,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n2,procedure,Procedure (Surgery),Surgery,,,kn689:n2:procedure_identity,procedure_identity,N,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n3,interval,Interval: Healing after surgery,,,,kn689:n3:interval_duration,interval_duration,Y,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n4,phase,Phase 2 (Immunotherapy; Radiation; cycles),Immunotherapy; Radiation,cycles,,kn689:n4:agents,agents,Y,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n4,phase,Phase 2 (Immunotherapy; Radiation; cycles),Immunotherapy; Radiation,cycles,,kn689:n4:cycle_length,cycle_length,Y,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n4,phase,Phase 2 (Immunotherapy; Radiation; cycles),Immunotherapy; Radiation,cycles,,kn689:n4:n_cycles,n_cycles,Y,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n5,phase,Phase 3 (Immunotherapy; cycles),Immunotherapy,cycles,,kn689:n5:agents,agents,Y,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n5,phase,Phase 3 (Immunotherapy; cycles),Immunotherapy,cycles,,kn689:n5:cycle_length,cycle_length,Y,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n5,phase,Phase 3 (Immunotherapy; cycles),Immunotherapy,cycles,,kn689:n5:n_cycles,n_cycles,Y,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n6,phase,Phase 4 (Surveillance; ongoing),Surveillance,ongoing,open-ended,kn689:n6:agents,agents,Y,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",n6,phase,Phase 4 (Surveillance; ongoing),Surveillance,ongoing,open-ended,kn689:n6:frequency_text,frequency_text,N,,,,,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,hn,"Oral cavity, throat, and larynx",pathway,pathway,Sequence of steps,,,,kn689:pathway:sequence,sequence,N,,,,,,,,
45,5,npc,"Nasopharyngeal cancer: gemcitabine/cisplatin ×3, then cisplatin + radiation",Zhang et al. (NEJM 2019) / NCCN,hn,Nasopharynx,n0,phase,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,npc:n0:agents,agents,Y,,,,,,,,
45,5,npc,"Nasopharyngeal cancer: gemcitabine/cisplatin ×3, then cisplatin + radiation",Zhang et al. (NEJM 2019) / NCCN,hn,Nasopharynx,n0,phase,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,npc:n0:cycle_length,cycle_length,Y,,,,,,,,
45,5,npc,"Nasopharyngeal cancer: gemcitabine/cisplatin ×3, then cisplatin + radiation",Zhang et al. (NEJM 2019) / NCCN,hn,Nasopharynx,n0,phase,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,npc:n0:n_cycles,n_cycles,Y,,,,,,,,
45,5,npc,"Nasopharyngeal cancer: gemcitabine/cisplatin ×3, then cisplatin + radiation",Zhang et al. (NEJM 2019) / NCCN,hn,Nasopharynx,n0,phase,Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,npc:n0:visit_days,visit_days,Y,,,,,,,,
45,5,npc,"Nasopharyngeal cancer: gemcitabine/cisplatin ×3, then cisplatin + radiation",Zhang et al. (NEJM 2019) / NCCN,hn,Nasopharynx,n1,phase,Phase 2 (Radiation; Chemotherapy; weekdays),Radiation; Chemotherapy,weekdays,,npc:n1:agents,agents,Y,,,,,,,,
